T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T74: 1 14, 3 36, 5 15, 7 24, 10 36, 12 10, 13 7, 15 3, 17 18, 19 15, 21 9, 24 10, 25 7, 27 18, 29 40, 31 12, 34 18, 36 9, 39 2, 40 33, 42 1, 44 10, 46 10, 48 56, 50 45, 52 42, 54 2, 56 24, 58 5, 60 16, 62 6, 65 18, 66 40, 68 63, 71 20, 72 54, 74 1
T75: 1 63, 3 28, 5 21, 7 15, 9 6, 12 8, 13 6, 16 15, 17 9, 19 18, 21 10, 24 6, 25 5, 27 14, 29 24, 31 3, 34 36, 36 7, 39 4, 40 22, 42 6, 44 4, 46 7, 48 42, 50 30, 52 48, 54 7, 56 32, 58 4, 60 28, 62 1, 64 16, 66 16, 68 7, 71 20, 72 42, 74 4
T76: 1 63, 3 20, 5 12, 7 3, 9 2, 11 45, 13 6, 15 15, 17 3, 19 3, 21 9, 24 14, 25 3, 27 18, 29 12, 31 12, 34 54, 36 8, 39 10, 40 77, 42 5, 44 2, 46 1, 48 21, 51 2, 52 60, 54 3, 56 40, 58 9, 60 32, 62 5, 64 40, 66 4, 68 42, 71 28, 72 54, 74 9
T77: 1 28, 3 12, 5 18, 7 9, 9 16, 12 6, 13 8, 15 12, 17 3, 19 18, 21 7, 24 18, 25 6, 27 12, 29 28, 31 27, 34 42, 36 9, 39 6, 40 22, 42 5, 44 9, 46 4, 48 56, 51 16, 52 12, 54 6, 56 24, 58 2, 60 16, 62 9, 64 12, 66 20, 68 14, 71 32, 72 36, 74 1
T78: 1 35, 3 28, 5 6, 7 21, 9 14, 11 35, 13 9, 15 9, 17 24, 19 9, 21 7, 24 6, 25 9, 27 20, 29 24, 31 9, 34 12, 36 7, 39 14, 40 66, 42 9, 44 6, 46 6, 48 63, 51 4, 52 36, 54 10, 56 4, 58 1, 60 28, 62 1, 65 27, 66 36, 68 28, 71 36, 72 12, 74 2
T79: 1 42, 3 4, 5 27, 7 27, 9 8, 12 16, 13 2, 16 30, 17 12, 19 6, 21 8, 24 14, 25 3, 27 4, 29 40, 31 21, 34 42, 36 3, 39 6, 40 110, 42 1, 44 4, 46 5, 48 28, 51 18, 52 36, 54 10, 56 32, 58 1, 60 28, 62 9, 64 8, 66 4, 68 56, 71 28, 72 36, 74 8
T80: 1 63, 3 12, 5 21, 7 12, 9 20, 11 45, 13 9, 15 30, 17 24, 19 27, 21 4, 24 18, 25 9, 27 2, 29 20, 31 24, 34 12, 36 8, 39 10, 40 99, 42 5, 44 5, 46 8, 48 56, 50 30, 52 18, 54 9, 56 12, 58 2, 60 28, 62 7, 65 24, 66 36, 68 28, 71 16, 73 20, 74 8
T81: 1 14, 3 8, 5 9, 7 18, 9 2, 11 15, 13 6, 15 27, 17 9, 19 24, 21 6, 24 2, 25 7, 27 18, 29 8, 31 12, 34 60, 36 4, 39 6, 40 33, 42 9, 44 8, 46 3, 48 35, 50 40, 52 18, 54 2, 56 32, 58 2, 60 40, 62 2, 65 27, 66 40, 69 24, 71 12, 73 2, 74 5
T82: 1 70, 3 28, 5 21, 7 6, 9 10, 11 40, 13 3, 15 30, 17 30, 19 12, 21 7, 24 4, 25 7, 27 18, 29 40, 31 12, 34 12, 36 2, 39 12, 40 22, 42 9, 44 10, 46 3, 48 35, 51 6, 52 6, 54 7, 56 12, 58 7, 60 8, 62 3, 65 18, 66 20, 68 7, 71 40, 73 16, 74 9
T83: 1 70, 3 28, 5 27, 7 30, 9 10, 11 45, 13 1, 15 21, 17 12, 19 3, 21 8, 24 16, 25 1, 27 14, 29 12, 31 15, 34 42, 36 10, 39 8, 40 99, 42 8, 44 4, 46 6, 48 49, 51 2, 52 48, 54 3, 56 16, 58 2, 60 40, 62 3, 65 3, 66 24, 69 16, 71 36, 73 2, 74 7
T84: 1 42, 3 24, 5 27, 7 3, 9 18, 11 5, 13 1, 15 24, 17 18, 19 27, 21 2, 24 20, 25 2, 27 6, 29 32, 32 35, 34 12, 36 1, 39 4, 40 22, 42 10, 44 2, 46 6, 48 70, 50 45, 52 18, 54 5, 56 20, 58 9, 60 32, 62 7, 64 20, 66 4, 68 42, 70 16, 72 18, 74 7
T85: 1 42, 3 20, 5 30, 7 21, 9 16, 11 5, 13 4, 15 6, 17 9, 19 12, 21 6, 24 10, 25 4, 27 10, 29 12, 32 50, 34 30, 36 5, 39 20, 40 88, 42 4, 44 8, 46 8, 48 14, 50 30, 52 54, 54 4, 56 8, 58 1, 60 4, 62 6, 65 27, 66 20, 68 7, 71 4, 72 48, 74 8
T86: 1 49, 3 12, 5 24, 7 3, 9 12, 11 20, 13 6, 15 9, 17 21, 19 18, 21 10, 24 2, 25 3, 27 12, 29 12, 32 30, 34 12, 36 1, 39 10, 40 110, 43 35, 44 10, 46 9, 48 35, 50 5, 52 42, 54 4, 56 24, 58 5, 60 28, 62 4, 65 21, 66 20, 68 49, 70 10, 72 12, 74 6
T87: 1 21, 3 16, 5 30, 7 18, 9 14, 12 16, 13 7, 16 12, 17 3, 19 30, 21 8, 24 12, 25 3, 27 4, 29 16, 32 50, 34 36, 36 3, 39 8, 40 11, 42 2, 44 3, 46 8, 48 63, 50 35, 52 12, 54 8, 56 40, 58 9, 60 40, 62 5, 64 40, 66 32, 68 21, 70 6, 72 6, 74 10
T88: 1 7, 3 24, 5 30, 7 9, 9 14, 12 12, 13 6, 16 15, 17 24, 19 3, 21 9, 24 16, 25 4, 27 20, 29 32, 32 5, 34 6, 36 9, 39 12, 40 55, 42 3, 44 1, 46 1, 48 56, 50 50, 52 42, 54 2, 56 24, 58 1, 60 40, 62 1, 64 8, 66 8, 68 21, 71 32, 72 36, 74 9
T89: 1 63, 3 36, 5 27, 7 9, 9 18, 11 35, 13 4, 15 18, 17 15, 19 18, 21 8, 24 18, 25 2, 27 20, 29 8, 32 20, 34 54, 36 2, 39 6, 40 55, 42 5, 44 8, 46 7, 48 42, 51 14, 52 60, 54 4, 56 24, 58 8, 60 8, 62 9, 64 8, 66 4, 68 56, 70 18, 72 18, 74 6
T90: 1 21, 3 4, 5 3, 7 27, 9 20, 11 35, 13 7, 15 30, 17 18, 19 18, 21 2, 24 16, 25 4, 27 16, 29 8, 32 35, 34 42, 36 9, 39 16, 40 110, 42 1, 44 3, 46 6, 48 21, 51 6, 52 54, 54 10, 56 40, 58 9, 60 16, 62 9, 65 27, 66 4, 68 63, 71 20, 72 30, 74 9
T91: 1 70, 3 36, 5 18, 7 9, 9 6, 12 16, 13 6, 16 30, 17 9, 19 6, 21 8, 24 6, 25 8, 27 20, 29 4, 32 50, 34 30, 36 8, 39 10, 40 88, 42 4, 44 10, 46 5, 48 63, 51 10, 52 24, 54 8, 56 16, 58 3, 60 4, 62 6, 64 8, 66 40, 68 28, 71 4, 72 54, 74 9
T92: 1 49, 3 32, 5 18, 7 27, 9 6, 11 50, 13 6, 15 27, 17 18, 20 2, 21 1, 24 12, 25 6, 27 14, 29 32, 32 50, 34 12, 36 4, 39 6, 40 44, 42 9, 44 7, 47 24, 48 7, 51 16, 52 36, 54 10, 56 24, 58 9, 60 16, 62 4, 64 32, 66 4, 68 70, 70 14, 72 54, 74 4
T93: 1 14, 3 24, 5 6, 7 6, 9 8, 11 35, 13 1, 16 21, 17 18, 20 8, 21 10, 24 4, 25 6, 27 20, 29 32, 32 10, 34 18, 36 5, 39 2, 40 44, 42 10, 44 1, 47 9, 48 21, 51 8, 52 6, 54 3, 56 32, 58 9, 60 12, 62 5, 64 16, 66 32, 68 63, 70 14, 72 54, 74 3
T94: 1 21, 3 16, 5 12, 7 18, 9 4, 11 40, 13 7, 15 30, 17 9, 19 24, 21 2, 24 10, 25 10, 27 4, 29 12, 32 15, 34 48, 36 9, 39 14, 40 88, 42 6, 44 7, 46 7, 48 42, 50 15, 52 54, 54 7, 56 28, 58 5, 60 8, 62 5, 64 8, 66 36, 68 70, 70 8, 73 8, 74 7
T95: 1 56, 3 4, 5 24, 7 12, 9 4, 11 10, 13 8, 15 3, 17 21, 19 9, 21 7, 24 4, 25 2, 27 18, 29 20, 32 45, 34 6, 36 10, 39 14, 40 33, 42 8, 44 4, 46 9, 48 21, 50 25, 52 54, 54 7, 56 36, 58 10, 60 40, 62 1, 65 3, 66 36, 68 70, 71 40, 73 12, 74 2
T96: 1 28, 3 4, 5 3, 7 30, 9 20, 11 15, 13 6, 16 27, 17 18, 19 12, 21 4, 24 2, 25 3, 27 8, 29 36, 32 45, 34 36, 36 9, 39 2, 40 66, 42 1, 44 9, 46 1, 48 42, 50 40, 52 12, 54 4, 56 8, 58 9, 60 24, 62 2, 64 28, 66 20, 68 56, 70 14, 73 10, 74 3
T97: 1 7, 3 28, 5 18, 7 15, 9 8, 12 14, 13 8, 16 15, 17 21, 19 6, 21 6, 24 6, 25 1, 27 6, 29 8, 32 15, 34 24, 36 4, 39 6, 40 55, 42 9, 44 3, 46 9, 48 14, 50 40, 52 30, 54 4, 56 32, 58 4, 60 28, 62 1, 64 28, 66 28, 68 7, 71 16, 73 8, 74 4
T98: 1 56, 3 28, 5 30, 7 6, 9 8, 11 30, 13 2, 15 30, 17 3, 20 9, 21 5, 24 20, 25 7, 27 6, 29 32, 32 10, 34 6, 36 4, 39 18, 40 66, 42 10, 44 1, 47 12, 48 35, 50 15, 52 60, 54 1, 56 36, 58 9, 60 16, 62 4, 64 12, 66 4, 68 21, 70 16, 73 2, 74 9
T99: 1 70, 3 24, 5 27, 7 21, 9 10, 11 15, 13 5, 15 18, 17 15, 19 21, 21 2, 24 8, 25 10, 27 16, 29 40, 32 20, 34 18, 36 9, 39 20, 40 22, 42 7, 44 1, 46 1, 48 42, 51 12, 52 30, 54 3, 56 12, 58 1, 60 40, 62 10, 64 16, 66 16, 68 28, 70 10, 73 4, 74 7
T100: 1 42, 3 24, 5 15, 7 21, 9 18, 12 14, 13 1, 16 3, 18 20, 20 6, 21 2, 23 20, 25 4, 27 18, 29 24, 31 30, 34 30, 36 5, 38 3, 40 55, 42 8, 44 1, 46 6, 48 42, 50 10, 52 18, 54 4, 56 32, 58 4, 60 28, 62 8, 64 20, 66 36, 68 42, 70 14, 72 12, 74 7
T101: 1 7, 3 8, 5 9, 7 3, 9 20, 12 12, 13 10, 16 6, 18 10, 20 5, 21 7, 23 35, 25 5, 27 2, 29 36, 31 12, 34 54, 36 10, 38 7, 40 88, 42 10, 44 3, 47 27, 48 70, 50 40, 52 30, 54 7, 56 40, 58 3, 60 8, 62 9, 64 36, 66 24, 68 35, 70 8, 72 6, 74 6
T102: 1 7, 3 28, 5 9, 7 18, 9 10, 11 5, 13 2, 16 21, 18 12, 20 4, 21 7, 24 20, 25 8, 27 2, 29 12, 31 6, 34 30, 36 8, 38 8, 40 11, 42 7, 44 8, 46 10, 48 21, 50 30, 52 48, 54 10, 56 16, 58 3, 60 24, 62 1, 64 40, 66 8, 68 63, 70 2, 72 54, 74 10
T103: 1 21, 3 20, 5 21, 7 15, 9 18, 12 18, 13 4, 16 24, 18 2, 20 3, 21 8, 24 6, 25 7, 27 6, 29 4, 31 24, 34 42, 36 8, 38 3, 40 77, 42 2, 44 7, 46 8, 48 14, 50 5, 52 6, 54 1, 56 20, 58 6, 60 4, 62 8, 64 24, 66 12, 68 7, 70 10, 72 6, 74 3
T104: 1 56, 3 40, 5 18, 7 21, 9 20, 11 50, 13 3, 16 27, 18 2, 20 5, 21 2, 24 6, 25 1, 27 8, 29 24, 31 15, 34 48, 36 4, 38 10, 40 77, 42 8, 44 9, 47 15, 48 14, 50 15, 52 60, 54 10, 56 28, 58 8, 60 12, 62 5, 64 4, 66 32, 68 63, 70 16, 72 60, 74 9
T105: 1 21, 3 36, 5 15, 7 24, 9 6, 12 8, 13 7, 16 15, 18 4, 20 5, 21 5, 24 8, 25 6, 27 2, 29 24, 31 6, 34 42, 36 8, 38 9, 40 33, 42 10, 44 10, 46 10, 48 28, 51 6, 52 12, 54 9, 56 12, 58 4, 60 24, 62 8, 64 8, 66 4, 68 14, 70 18, 72 42, 74 8
T106: 1 28, 3 28, 5 12, 7 6, 9 14, 11 25, 13 10, 16 15, 18 10, 20 8, 21 7, 24 6, 25 10, 27 18, 29 28, 32 45, 34 24, 36 4, 38 9, 40 11, 42 7, 44 9, 46 4, 48 14, 50 10, 52 18, 54 5, 56 8, 58 2, 60 12, 62 1, 64 32, 66 24, 68 7, 70 20, 72 54, 74 9
T107: 1 56, 3 8, 5 21, 7 24, 9 14, 11 35, 13 4, 16 30, 18 18, 20 9, 21 10, 24 16, 25 5, 27 6, 29 40, 32 20, 34 54, 36 3, 38 4, 40 44, 43 20, 44 10, 46 3, 48 56, 50 10, 52 6, 54 2, 56 4, 58 7, 60 16, 62 9, 64 32, 66 4, 68 63, 70 2, 72 60, 74 5
T108: 1 56, 3 24, 5 9, 7 21, 9 10, 12 8, 13 8, 16 30, 18 2, 20 8, 21 2, 24 10, 25 6, 27 2, 29 32, 32 30, 34 60, 36 2, 38 2, 40 11, 42 2, 44 6, 46 8, 48 49, 50 35, 52 30, 54 10, 56 8, 58 2, 60 20, 62 6, 64 36, 66 36, 68 35, 70 2, 72 24, 74 3
T109: 1 56, 3 36, 5 6, 7 12, 9 16, 11 50, 13 1, 16 18, 18 8, 20 5, 21 5, 24 18, 25 6, 27 14, 29 32, 32 30, 34 54, 36 5, 38 8, 40 22, 42 1, 44 2, 47 9, 48 49, 50 20, 52 36, 54 5, 56 8, 58 9, 60 36, 62 1, 64 36, 66 12, 68 21, 70 2, 72 6, 74 6
T110: 1 21, 3 24, 5 18, 7 18, 9 20, 11 45, 13 5, 16 3, 18 16, 20 6, 21 9, 24 6, 25 7, 27 4, 29 4, 32 20, 34 12, 36 6, 38 5, 40 110, 42 6, 44 7, 46 2, 48 28, 50 40, 52 36, 54 9, 56 8, 58 10, 60 28, 62 10, 64 12, 66 32, 68 70, 70 4, 73 16, 74 8
T111: 1 63, 3 36, 5 3, 7 27, 9 10, 12 12, 13 4, 16 12, 18 14, 20 3, 21 4, 23 10, 25 5, 27 2, 29 8, 31 27, 34 36, 36 3, 39 4, 40 11, 42 5, 44 4, 46 2, 48 56, 51 18, 52 42, 54 5, 56 4, 58 2, 60 4, 62 3, 64 20, 66 12, 68 7, 70 12, 72 6, 74 8
T112: 1 35, 3 36, 5 6, 7 12, 9 18, 12 20, 13 6, 16 6, 18 4, 20 3, 21 3, 23 20, 25 9, 27 14, 29 36, 31 15, 34 6, 36 6, 39 2, 40 99, 42 4, 44 6, 46 1, 48 35, 51 12, 52 6, 54 2, 56 36, 58 5, 60 40, 62 9, 64 32, 66 16, 68 42, 71 16, 72 60, 74 5
T113: 1 70, 3 8, 5 18, 7 18, 9 8, 11 25, 13 9, 16 15, 18 14, 20 3, 21 3, 24 4, 25 8, 27 18, 29 36, 31 24, 34 12, 36 9, 39 2, 40 22, 42 9, 44 3, 46 6, 48 70, 50 45, 52 48, 54 1, 56 4, 58 5, 60 32, 62 3, 64 20, 66 8, 68 21, 71 4, 72 42, 74 4
T114: 1 14, 3 4, 5 21, 7 12, 9 18, 12 6, 13 4, 16 15, 18 6, 20 4, 21 8, 24 2, 25 8, 27 2, 29 20, 31 9, 34 12, 36 7, 39 20, 40 99, 42 5, 44 7, 46 1, 48 7, 51 18, 52 6, 54 1, 56 40, 58 5, 60 24, 62 5, 64 24, 66 16, 68 56, 71 4, 72 24, 74 2
T115: 1 28, 3 36, 5 21, 7 21, 9 14, 11 15, 13 9, 16 3, 18 6, 20 10, 21 4, 24 10, 25 2, 27 14, 29 8, 32 45, 34 54, 36 9, 39 2, 40 44, 42 9, 44 7, 46 4, 48 35, 50 50, 52 6, 54 5, 56 4, 58 4, 60 4, 62 5, 64 4, 66 12, 68 14, 71 36, 72 6, 74 10
T116: 1 21, 3 16, 5 27, 7 21, 9 20, 11 50, 14 8, 15 27, 17 18, 19 3, 21 3, 23 10, 25 2, 27 18, 29 32, 31 15, 34 12, 36 10, 38 8, 40 11, 42 1, 44 6, 46 10, 48 14, 50 10, 52 54, 54 7, 56 8, 58 4, 60 28, 62 3, 64 36, 66 32, 68 28, 70 8, 72 54, 74 9
T117: 1 14, 3 20, 5 21, 7 21, 9 12, 11 5, 14 10, 15 24, 17 3, 19 6, 21 1, 23 45, 25 6, 27 18, 29 4, 31 27, 34 12, 36 3, 38 2, 40 66, 42 7, 44 7, 46 7, 48 56, 50 50, 52 18, 54 3, 56 24, 58 9, 60 28, 62 5, 64 40, 66 28, 68 21, 71 8, 72 60, 74 4
T118: 1 70, 3 32, 5 30, 7 24, 10 36, 11 30, 14 4, 15 6, 17 3, 19 15, 21 6, 23 10, 25 2, 27 8, 29 28, 31 9, 34 60, 36 5, 38 2, 40 77, 42 8, 44 4, 46 2, 48 7, 50 35, 52 42, 54 2, 56 8, 58 10, 60 16, 62 6, 64 36, 66 28, 68 28, 71 28, 72 24, 74 1
T119: 1 7, 3 40, 5 24, 7 30, 9 16, 12 2, 14 3, 15 21, 17 9, 19 12, 21 8, 23 10, 25 5, 27 18, 29 28, 31 12, 34 54, 36 4, 38 6, 40 44, 42 4, 44 5, 46 1, 48 56, 50 40, 52 54, 54 10, 56 24, 58 7, 60 28, 62 5, 64 20, 66 8, 68 56, 71 20, 72 18, 74 9
T120: 1 21, 3 36, 5 30, 7 21, 10 54, 12 4, 14 6, 15 21, 17 12, 19 21, 21 3, 23 10, 25 6, 27 18, 29 4, 31 15, 34 48, 36 2, 38 2, 40 99, 42 1, 44 3, 46 6, 48 56, 50 45, 52 60, 54 4, 56 4, 58 7, 60 20, 62 9, 64 32, 66 4, 68 63, 70 6, 72 36, 74 10
T121: 1 70, 3 4, 5 24, 7 15, 10 60, 12 6, 14 7, 15 9, 17 27, 19 18, 21 7, 23 10, 25 2, 27 10, 29 4, 31 24, 34 42, 36 3, 38 1, 40 44, 42 1, 44 8, 46 5, 48 21, 50 45, 52 30, 54 7, 56 36, 58 7, 60 24, 62 7, 64 24, 66 40, 68 63, 71 24, 72 18, 74 5
T122: 1 56, 3 12, 5 15, 7 12, 9 16, 11 10, 14 9, 16 30, 17 3, 19 24, 21 10, 23 15, 25 2, 27 2, 29 40, 31 21, 34 18, 36 8, 38 2, 40 55, 42 8, 44 9, 46 6, 48 28, 50 50, 52 6, 54 1, 56 16, 58 10, 60 16, 62 3, 64 4, 66 12, 68 7, 71 24, 72 18, 74 9
T123: 1 14, 3 8, 5 18, 7 3, 9 2, 12 2, 14 5, 16 27, 17 24, 19 18, 21 8, 23 10, 25 1, 27 16, 29 16, 31 18, 34 30, 36 7, 38 6, 40 11, 42 4, 44 1, 46 8, 48 63, 50 5, 52 54, 54 7, 56 16, 58 9, 60 12, 62 4, 64 4, 66 24, 68 70, 70 20, 72 30, 74 6
T124: 1 63, 3 20, 5 24, 7 24, 9 14, 12 10, 14 3, 16 18, 17 6, 19 6, 21 8, 23 45, 25 6, 27 20, 29 28, 31 12, 34 54, 36 5, 38 2, 40 99, 42 10, 44 2, 46 3, 48 63, 50 50, 52 54, 54 1, 56 24, 58 8, 60 20, 62 9, 64 8, 66 28, 68 35, 71 24, 72 30, 74 9
T125: 1 42, 3 16, 5 21, 7 18, 9 4, 11 25, 14 5, 15 3, 17 9, 19 9, 21 10, 23 35, 25 4, 27 20, 29 20, 31 15, 34 54, 36 6, 38 4, 40 55, 42 10, 44 9, 46 5, 48 42, 50 50, 52 12, 54 9, 56 8, 58 9, 60 4, 62 9, 64 28, 66 32, 69 16, 71 12, 72 24, 74 7
T126: 1 56, 3 20, 5 21, 7 6, 9 8, 11 45, 14 9, 15 21, 17 24, 20 5, 21 6, 23 20, 25 9, 27 20, 29 4, 31 24, 34 36, 36 6, 38 9, 40 88, 42 10, 44 5, 47 15, 48 35, 50 45, 52 24, 54 2, 56 8, 58 6, 60 28, 62 5, 64 36, 66 8, 68 35, 70 8, 72 36, 74 10
T127: 1 49, 3 4, 5 6, 7 18, 9 6, 12 4, 14 8, 16 27, 17 6, 20 10, 21 3, 23 20, 25 9, 27 4, 29 28, 31 27, 34 42, 36 2, 38 7, 40 99, 42 1, 44 5, 47 21, 48 56, 50 35, 52 54, 54 10, 56 4, 58 1, 60 8, 62 4, 64 16, 66 8, 68 42, 70 12, 72 30, 74 4
T128: 1 56, 3 20, 5 30, 7 30, 9 8, 11 20, 14 10, 15 21, 17 21, 19 18, 21 5, 23 40, 25 5, 27 2, 29 32, 31 21, 34 24, 36 4, 38 7, 40 55, 42 4, 44 10, 46 2, 48 42, 51 14, 52 30, 54 4, 56 12, 58 2, 60 8, 62 1, 64 12, 66 12, 68 56, 70 20, 72 48, 74 3
T129: 1 35, 3 4, 5 18, 7 9, 9 18, 11 40, 14 4, 15 24, 17 9, 19 30, 21 8, 23 45, 25 2, 27 10, 29 16, 31 27, 34 6, 36 2, 38 5, 40 55, 42 4, 44 7, 46 6, 48 63, 51 8, 52 24, 54 7, 56 20, 58 7, 60 20, 62 7, 64 16, 66 40, 68 49, 71 40, 72 30, 74 1
T130: 1 28, 3 20, 5 15, 8 16, 9 14, 11 40, 14 6, 15 6, 17 30, 19 12, 21 6, 23 5, 25 10, 27 12, 29 40, 31 24, 34 30, 36 9, 38 8, 40 11, 42 10, 44 2, 46 1, 48 63, 51 18, 52 36, 54 7, 56 4, 58 5, 60 32, 62 7, 64 16, 66 36, 68 56, 71 4, 72 18, 74 6
T131: 1 7, 3 32, 5 15, 7 24, 10 18, 11 35, 14 6, 15 21, 17 3, 19 30, 21 4, 23 15, 25 3, 27 10, 29 16, 31 15, 34 60, 36 8, 38 8, 40 66, 42 7, 44 4, 46 3, 48 56, 51 14, 52 24, 54 3, 56 16, 58 3, 60 24, 62 8, 64 12, 66 4, 68 49, 71 32, 72 60, 74 10
T132: 1 21, 3 16, 5 9, 8 14, 9 2, 12 10, 14 4, 16 9, 17 15, 19 27, 21 8, 23 10, 25 2, 27 12, 29 20, 31 6, 34 24, 36 10, 38 9, 40 66, 42 9, 44 5, 46 3, 48 7, 51 20, 52 36, 54 6, 56 24, 58 5, 60 12, 62 8, 64 32, 66 24, 68 49, 71 4, 72 6, 74 7
T133: 1 42, 3 8, 5 9, 7 30, 9 14, 11 15, 14 3, 15 24, 17 12, 19 24, 21 6, 23 15, 25 5, 27 10, 29 12, 31 30, 34 6, 36 6, 38 4, 40 44, 42 7, 44 5, 46 5, 48 7, 51 14, 52 36, 54 3, 56 8, 58 6, 60 8, 62 6, 64 24, 66 16, 69 8, 71 12, 72 36, 74 8
T134: 1 49, 3 32, 5 27, 7 24, 9 2, 11 5, 14 9, 15 6, 17 18, 20 6, 21 10, 23 50, 25 3, 27 8, 29 8, 31 6, 34 54, 36 2, 38 2, 40 44, 42 10, 44 9, 47 27, 48 70, 51 2, 52 12, 54 2, 56 36, 58 10, 60 28, 62 3, 64 20, 66 36, 68 63, 70 14, 72 24, 74 8
T135: 1 7, 3 36, 5 27, 7 21, 9 2, 11 10, 14 3, 15 21, 17 24, 19 3, 21 5, 24 16, 25 4, 27 18, 29 12, 31 24, 34 54, 36 2, 38 9, 40 77, 42 1, 44 1, 46 6, 48 42, 50 50, 52 18, 54 10, 56 16, 58 6, 60 28, 62 8, 65 15, 66 36, 68 35, 70 18, 72 48, 74 8
T136: 1 56, 3 4, 5 6, 7 27, 9 10, 11 45, 14 3, 15 12, 17 21, 19 18, 21 5, 24 4, 25 5, 27 8, 29 12, 31 18, 34 54, 36 5, 38 5, 40 33, 42 1, 44 2, 46 3, 48 63, 50 20, 52 48, 54 1, 56 8, 58 1, 60 24, 62 7, 65 3, 66 28, 68 7, 71 40, 72 54, 74 8
T137: 1 70, 3 36, 5 18, 7 12, 10 12, 11 35, 14 9, 15 12, 17 27, 19 12, 21 6, 24 8, 25 6, 27 4, 29 40, 31 3, 34 18, 36 8, 38 7, 40 44, 42 3, 44 4, 46 4, 48 42, 50 5, 52 60, 54 7, 56 32, 58 8, 60 28, 62 2, 65 9, 66 24, 68 21, 70 2, 72 12, 74 7
T138: 1 35, 3 36, 5 30, 7 24, 10 60, 11 35, 14 5, 15 30, 17 21, 19 21, 21 2, 24 14, 25 10, 27 12, 29 8, 31 15, 34 36, 36 1, 38 8, 40 44, 42 7, 44 6, 46 5, 48 35, 50 25, 52 30, 54 8, 56 12, 58 9, 60 40, 62 2, 65 27, 66 40, 68 7, 71 36, 72 36, 74 6
T139: 1 56, 3 32, 5 21, 7 3, 9 10, 11 30, 14 2, 16 30, 17 12, 19 27, 21 8, 24 2, 25 6, 27 10, 29 16, 31 3, 34 6, 36 7, 38 3, 40 11, 42 2, 44 5, 46 5, 48 56, 50 15, 52 42, 54 1, 56 36, 58 5, 60 20, 62 5, 64 12, 66 12, 68 21, 70 18, 72 60, 74 5
T140: 1 35, 3 8, 5 3, 7 15, 9 6, 12 18, 14 5, 16 21, 17 27, 19 27, 21 8, 24 6, 25 3, 27 12, 29 32, 31 15, 34 48, 36 2, 38 2, 40 88, 42 6, 44 5, 46 5, 48 49, 50 45, 52 24, 54 5, 56 16, 58 1, 60 20, 62 3, 64 28, 66 40, 68 7, 70 8, 72 48, 74 1
T141: 1 49, 3 16, 5 24, 7 9, 9 18, 12 14, 14 10, 16 18, 17 3, 19 18, 21 3, 24 14, 25 10, 27 10, 29 24, 31 30, 34 18, 36 8, 38 3, 40 33, 42 1, 44 9, 46 5, 48 49, 50 30, 52 6, 54 1, 56 12, 58 1, 60 28, 62 7, 64 40, 66 20, 68 21, 71 40, 72 42, 74 6
T142: 1 49, 3 4, 5 3, 7 24, 9 12, 11 45, 14 7, 16 9, 17 21, 19 6, 21 7, 24 20, 25 9, 27 10, 29 12, 31 18, 34 42, 36 8, 38 4, 40 55, 43 30, 44 7, 46 2, 48 70, 50 5, 52 54, 54 1, 56 20, 58 10, 60 32, 62 3, 65 6, 66 32, 68 14, 70 16, 72 60, 74 10
T143: 1 49, 3 36, 5 27, 7 24, 9 4, 11 20, 14 9, 15 30, 17 9, 20 10, 21 5, 24 18, 25 1, 27 12, 29 28, 31 30, 34 60, 36 1, 38 1, 40 77, 42 10, 44 8, 47 12, 48 63, 50 20, 52 12, 54 3, 56 12, 58 7, 60 28, 62 9, 65 9, 66 20, 68 42, 70 10, 72 54, 74 2
T144: 1 42, 3 16, 5 3, 7 9, 9 4, 11 20, 14 5, 15 27, 17 30, 20 7, 21 6, 24 6, 25 7, 27 20, 29 40, 31 27, 34 60, 36 3, 38 10, 40 66, 42 4, 44 7, 47 6, 48 14, 50 25, 52 60, 54 1, 56 4, 58 4, 60 12, 62 6, 65 21, 66 36, 68 21, 71 20, 72 12, 74 1
T145: 1 21, 3 12, 5 21, 7 3, 9 8, 11 30, 14 2, 15 12, 17 18, 20 7, 21 1, 24 12, 25 5, 27 10, 29 4, 31 24, 34 48, 36 8, 38 1, 40 99, 43 25, 44 1, 47 18, 48 21, 50 30, 52 48, 54 8, 56 40, 58 9, 60 12, 62 10, 65 18, 66 32, 68 56, 70 12, 72 42, 74 8
T146: 1 42, 3 20, 5 6, 7 15, 9 4, 11 30, 14 2, 16 30, 17 21, 20 3, 21 2, 24 4, 25 5, 27 16, 29 24, 31 24, 34 36, 36 5, 38 5, 40 110, 42 6, 44 10, 47 18, 48 14, 50 5, 52 42, 54 3, 56 40, 58 2, 60 8, 62 9, 64 8, 66 32, 68 35, 70 20, 72 12, 74 10
